ID,Gloss,Category,Precision,Recall,F1_score,Support
57,Eight,Numbers,100.00%,100.00%,100.00%,2
56,Seven,Numbers,100.00%,100.00%,100.00%,2
160,Weight throwing,Sports,100.00%,100.00%,100.00%,2
161,Discus throwing,Sports,100.00%,100.00%,100.00%,2
163,Shooting,Sports,100.00%,100.00%,100.00%,2
165,Archery,Sports,100.00%,100.00%,100.00%,2
159,High Jump,Sports,100.00%,100.00%,100.00%,2
175,Century egg,Groceries,100.00%,100.00%,100.00%,2
177,Pork,Groceries,100.00%,100.00%,100.00%,2
166,Cycling,Sports,100.00%,100.00%,100.00%,2
154,Tennis,Sports,100.00%,100.00%,100.00%,2
158,Running,Sports,100.00%,100.00%,100.00%,2
153,Badminton,Unknown,100.00%,100.00%,100.00%,2
174,Duck egg,Groceries,100.00%,100.00%,100.00%,2
172,Egg,Groceries,100.00%,100.00%,100.00%,2
173,Chicken egg,Groceries,100.00%,100.00%,100.00%,2
170,Sailboat,Sports,100.00%,100.00%,100.00%,2
171,Sport,Sports,100.00%,100.00%,100.00%,2
182,Fish meat,Groceries,100.00%,100.00%,100.00%,2
183,Grocery,Groceries,100.00%,100.00%,100.00%,2
181,Venison,Groceries,100.00%,100.00%,100.00%,2
180,Mutton,Groceries,100.00%,100.00%,100.00%,2
176,Salted egg,Groceries,100.00%,100.00%,100.00%,2
150,Boxing,Unknown,100.00%,100.00%,100.00%,2
149,Takraw,Unknown,100.00%,100.00%,100.00%,2
145,Ladyboy,Genders,100.00%,100.00%,100.00%,1
96,Tor Thaharn,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
97,Thor Thohng,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
94,Nor Nayn,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
95,Ngor Ngoo,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
91,Yor Ying,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
90,Yor Yuk,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
89,Jor Jaan,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
88,Lor Chulaa,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
118,Great-grandfather,Family & Relationships,100.00%,100.00%,100.00%,2
113,Children,Family & Relationships,100.00%,100.00%,100.00%,2
111,Dad,Family & Relationships,100.00%,100.00%,100.00%,2
110,Wife,Family & Relationships,100.00%,100.00%,100.00%,2
108,aii,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
107,ai,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
106,o,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
105,uu,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
99,Chor Chaang,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
100,Chor Cher,Thai Alphabet & Vowels,100.00%,100.00%,100.00%,2
109,Husband,Family & Relationships,100.00%,100.00%,100.00%,2
131,Older sister,Family & Relationships,100.00%,100.00%,100.00%,2
129,Older brother,Family & Relationships,100.00%,100.00%,100.00%,2
126,Friend,Family & Relationships,100.00%,100.00%,100.00%,2
127,Close friend,Family & Relationships,100.00%,100.00%,100.00%,2
121,Great-grandchild,Family & Relationships,100.00%,100.00%,100.00%,2
137,Male,Genders,100.00%,100.00%,100.00%,2
139,Gay,Genders,100.00%,100.00%,100.00%,2
146,Football,Unknown,100.00%,100.00%,100.00%,2
34,Chatuchak Park,Special locations,66.67%,100.00%,80.00%,2
47,Dreamworld,Special locations,66.67%,100.00%,80.00%,2
48,Safari World,Special locations,66.67%,100.00%,80.00%,2
5,Vietnam,Countries,66.67%,100.00%,80.00%,2
23,Yaowarat,Special locations,66.67%,100.00%,80.00%,2
92,Mor Maa,Thai Alphabet & Vowels,66.67%,100.00%,80.00%,2
78,Hor Heep,Thai Alphabet & Vowels,66.67%,100.00%,80.00%,2
12,Wat Phra Kaew,Special locations,66.67%,100.00%,80.00%,2
136,Parent,Family & Relationships,66.67%,100.00%,80.00%,2
162,Javelin throwing,Sports,66.67%,100.00%,80.00%,2
135,Family,Family & Relationships,66.67%,100.00%,80.00%,2
134,Cousin,Family & Relationships,66.67%,100.00%,80.00%,2
140,Transgender,Genders,66.67%,100.00%,80.00%,2
167,Chess,Sports,66.67%,100.00%,80.00%,2
179,Beef,Groceries,66.67%,100.00%,80.00%,2
76,Phor Pheung,Thai Alphabet & Vowels,66.67%,100.00%,80.00%,2
64,Tor Tao,Thai Alphabet & Vowels,66.67%,100.00%,80.00%,2
178,Wild boar meat,Groceries,100.00%,50.00%,66.67%,2
164,Swimming,Sports,100.00%,50.00%,66.67%,2
144,Tomboy,Genders,50.00%,100.00%,66.67%,1
147,Basketball,Unknown,100.00%,50.00%,66.67%,2
168,Bowling,Sports,100.00%,50.00%,66.67%,2
38,Robinson Department Store,Special locations,100.00%,50.00%,66.67%,2
25,Government House,Special locations,100.00%,50.00%,66.67%,2
27,Democracy Monument,Special locations,100.00%,50.00%,66.67%,2
43,Big C,Special locations,50.00%,100.00%,66.67%,2
40,Future Park Rangsit,Special locations,100.00%,50.00%,66.67%,2
44,Chatuchak Weekend Market,Special locations,100.00%,50.00%,66.67%,2
41,Makro,Special locations,100.00%,50.00%,66.67%,2
10,Pakistan,Countries,100.00%,50.00%,66.67%,2
7,Hong Kong,Countries,100.00%,50.00%,66.67%,2
169,Golf,Sports,100.00%,50.00%,66.67%,2
130,Younger brother,Family & Relationships,100.00%,50.00%,66.67%,2
143,Lesbian,Genders,100.00%,50.00%,66.67%,2
142,LGBTQ+,Genders,100.00%,50.00%,66.67%,2
87,Lor Ling,Thai Alphabet & Vowels,50.00%,100.00%,66.67%,2
133,Relative,Family & Relationships,100.00%,50.00%,66.67%,2
156,Gymnastic,Sports,100.00%,50.00%,66.67%,2
103,ee,Thai Alphabet & Vowels,100.00%,50.00%,66.67%,2
119,Great-grandmother,Family & Relationships,100.00%,50.00%,66.67%,2
98,Chor Ching,Thai Alphabet & Vowels,100.00%,50.00%,66.67%,2
86,Fhor Fhaa,Thai Alphabet & Vowels,50.00%,100.00%,66.67%,2
115,Grandmother,Family & Relationships,50.00%,100.00%,66.67%,2
114,Grandfather,Family & Relationships,50.00%,100.00%,66.67%,2
116,Grandpa,Family & Relationships,100.00%,50.00%,66.67%,2
125,Aunt (Father's younger brother or sister),Family & Relationships,40.00%,100.00%,57.14%,2
85,For Fun,Thai Alphabet & Vowels,40.00%,100.00%,57.14%,2
141,Gender,Genders,50.00%,50.00%,50.00%,2
120,Grandchild,Family & Relationships,50.00%,50.00%,50.00%,2
128,Girlfriend,Family & Relationships,50.00%,50.00%,50.00%,2
112,Mom,Family & Relationships,50.00%,50.00%,50.00%,2
82,Wor Whaen,Thai Alphabet & Vowels,50.00%,50.00%,50.00%,2
55,Six,Numbers,50.00%,50.00%,50.00%,2
3,Myanmar,Countries,50.00%,50.00%,50.00%,2
132,Younger sister,Family & Relationships,50.00%,50.00%,50.00%,2
148,Volleyball,Unknown,50.00%,50.00%,50.00%,2
93,Nor Nhoo,Thai Alphabet & Vowels,50.00%,50.00%,50.00%,2
157,Petanque,Sports,33.33%,50.00%,40.00%,2
155,Table Tennis,Sports,33.33%,50.00%,40.00%,2
18,Wat Phra Pathom Chedi,Special locations,33.33%,50.00%,40.00%,2
138,Female,Genders,33.33%,50.00%,40.00%,2
152,Judo,Unknown,33.33%,50.00%,40.00%,2
102,i,Thai Alphabet & Vowels,25.00%,50.00%,33.33%,2
45,Train Night Market,Special locations,0.00%,0.00%,0.00%,2
39,The Mall Department Store,Special locations,0.00%,0.00%,0.00%,2
15,Wat Benchamabophit,Special locations,0.00%,0.00%,0.00%,1
14,Wat Arun,Special locations,0.00%,0.00%,0.00%,1
29,Damnoen Saduak Floating Market,Special locations,0.00%,0.00%,0.00%,2
17,Wat Phra That Phanom,Special locations,0.00%,0.00%,0.00%,1
117,Grandma,Family & Relationships,0.00%,0.00%,0.00%,2
104,u,Thai Alphabet & Vowels,0.00%,0.00%,0.00%,2
101,Or Aang,Thai Alphabet & Vowels,0.00%,0.00%,0.00%,2
58,Nine,Numbers,0.00%,0.00%,0.00%,2
151,Wrestling,Unknown,0.00%,0.00%,0.00%,2
124,Uncle (Mother's younger brother or sister),Family & Relationships,0.00%,0.00%,0.00%,2
122,Uncle (Mother's or father's older brother),Family & Relationships,0.00%,0.00%,0.00%,2
